"","Genus","Species"
"Otu0001",NA,NA
"Otu0002",NA,NA
"Otu0003",NA,NA
"Otu0004",NA,NA
"Otu0005",NA,NA
"Otu0006",NA,NA
"Otu0007",NA,NA
"Otu0008",NA,NA
"Otu0009","Staphylococcus","argenteus/aureus/capitis/caprae/devriesei/epidermidis/equorum/haemolyticus/hominis/lugdunensis/pasteuri/petrasii/phage/saccharolyticus/schweitzeri/simiae/warneri"
"Otu0010","Bacillus","altitudinis/amyloliquefaciens/firmus/halotolerans/licheniformis/mojavensis/siamensis/subtilis/tequilensis/timonensis/vallismortis/velezensis"
"Otu0011",NA,NA
"Otu0012","Listeria","innocua/ivanovii/marthii/monocytogenes/phage/seeligeri/welshimeri"
"Otu0013",NA,"albertii/boydii/coli/dysenteriae/enterica/fergusonii/flexneri/marmotae/sonnei/vulneris"
"Otu0014",NA,"amalonaticus/cloacae/enterica/freundii/intermedia/phage/regensburgei"
"Otu0015",NA,"azikeevi/canintestini/canis/dispar/durans/faecalis/faecium/hirae/lactis/mundtii/olivae/pernyi/plantarum/raffinosus/ratti/rivorum/saigonensis/thailandicus/villorum"
"Otu0016","Lactobacillus","delbrueckii/fermentum/ingluviei/oris/parabuchneri/plantarum"
"Otu0018",NA,NA
"Otu0019",NA,NA
"Otu0020",NA,NA
"Otu0021",NA,NA
"Otu0022",NA,NA
"Otu0023","Alteromonas","alvinellae/australica/gracilis/litorea/macleodii/marina/mediterranea/simiduii/tagae"
"Otu0024","Vibrio","Parahaemolyticus/alfacsensis/alginolyticus/algoinfesta/antiquarius/atypicus/azureus/brasiliensis/campbellii/caribbeanicus/coralliilyticus/diabolicus/equitatus/europaeus/galatheae/gallicus/harveyi/hepatarius/ichthyoenteri/natriegens/neptunius/owensii/parahaemolyticus/ponticus/rotiferianus/sagamiensis/scophthalmi/sinaloensis/tapetis/tubiashii/variabilis/xuii"
"Otu0025",NA,"aestuarianus/alginolyticus/antiquarius/atypicus/azureus/campbellii/coralliilyticus/diabolicus/fluvialis/fortis/galatheae/harveyi/hyugaensis/jasicida/mediterranei/midae/mytili/natriegens/neocaledonicus/nereis/owensii/parahaemolyticus/pelagius/qinhuangdaora/rotiferianus/sagamiensis/sonorensis/thiocycli/variabilis/vulnificus"
"Otu0026","Pseudoalteromonas","aestuariivivens/agarivorans/arabiensis/atlantica/carrageenovora/chazhmella/distincta/donghaensis/elyakovii/espejiana/ganghwensis/gelatinilytica/haloplanktis/hodoensis/issachenkonii/lipolytica/luteoviolacea/mariniglutinosa/nigrifaciens/paragorgicola/porphyrae/profundi/prydzensis/shioyasakiensis/telluritireducens/tetraodonis/undina/whanghaensis/xishaensis"
"Otu0027","Pseudomonas","aeruginosa/denitrificans/fluorescens/mendocina/otitidis/protegens/putida/tropicalis"
"Otu0030","Sphingobium","amiense/limneticum/yanoikuyae"
"Otu0031","Endozoicomonas","atrinae"
"Otu0034","Pseudoalteromonas","phenolica"
"Otu0035",NA,NA
"Otu0037",NA,NA
"Otu0038",NA,NA
"Otu0039",NA,NA
"Otu0041","Photobacterium","aquimaris/iliopiscarium/kishitanii/leiognathi/phosphoreum/piscicola/sanguinicancri/swingsii"
"Otu0042",NA,NA
"Otu0045",NA,NA
"Otu0046","Prochlorococcus","marinus"
"Otu0047",NA,NA
"Otu0048","Cobetia","amphilecti/litoralis/marina/pacifica"
"Otu0049",NA,NA
"Otu0050",NA,NA
"Otu0053",NA,NA
"Otu0054",NA,NA
"Otu0055",NA,NA
"Otu0057","Vibrio","anguillarum/artabrorum/atlanticus/celticus/chagasii/crassostreae/cyclitrophicus/gallaecicus/gigantis/harveyi/kanaloae/lentus/pomeroyi/splendidus/tasmaniensis/toranzoniae"
"Otu0058",NA,"ananatis/beijingensis/gaviniae/helveticus/pleuroti/pulveris"
"Otu0061",NA,NA
"Otu0062","Algicola","bacteriolytica"
"Otu0063",NA,NA
"Otu0064",NA,NA
"Otu0065","Photobacterium","aquae/gaetbulicola/panuliri/phosphoreum/rosenbergii/sanctipauli"
"Otu0067",NA,NA
"Otu0068",NA,NA
"Otu0069",NA,NA
"Otu0071",NA,NA
"Otu0072",NA,NA
"Otu0073",NA,NA
"Otu0074",NA,NA
"Otu0075",NA,NA
"Otu0078","Bacillus","marmarensis/pseudofirmus"
"Otu0079",NA,NA
"Otu0080","Vibrio","aestuarianus/fortis/pelagius"
"Otu0081",NA,NA
"Otu0082",NA,NA
"Otu0084",NA,NA
"Otu0085",NA,NA
"Otu0086","Photobacterium","damselae"
"Otu0087","Halomonas","boliviensis/campaniensis/chromatireducens/denitrificans/desiderata/huangheensis/kenyensis/nitrilicus/nitritophilus/pacifica/phoceae/qiaohouensis/saccharevitans/salifodinae/salina/urumqiensis/ventosae"
"Otu0088",NA,NA
"Otu0089",NA,"altitudinis/amyloliquefaciens/anthracis/bingmayongensis/bombysepticus/cereus/coagulans/cytotoxicus/firmus/gaemokensis/licheniformis/manliponensis/megaterium/meqaterium/mycoides/nealsonii/oryzaecorticis/phage/pneumoniae/pseudomycoides/pumilus/salmalaya/samanii/subtilis/thuringiensis/toyonensis/weihenstephanensis/wiedmannii"
"Otu0090","Vibrio","areninigrae/coralliilyticus/harveyi/hispanicus"
"Otu0092","Lawsonella","clevelandensis"
"Otu0094",NA,NA
"Otu0095",NA,NA
"Otu0096",NA,NA
"Otu0097",NA,NA
"Otu0098",NA,NA
"Otu0101",NA,NA
"Otu0102",NA,NA
"Otu0104",NA,NA
"Otu0107",NA,NA
"Otu0109","Corynebacterium","accolens/fastidiosum/macginleyi/segmentosum"
"Otu0110",NA,NA
"Otu0111",NA,NA
"Otu0112",NA,NA
"Otu0113",NA,NA
"Otu0115",NA,NA
"Otu0116","Pseudoalteromonas","agarivorans/antarctica/arctica/citrea/distincta/elyakovii/espejiana/flavipulchra/gracilis/haloplanktis/issachenkonii/marina/nigrifaciens/paragorgicola/spongiae/translucida"
"Otu0118",NA,NA
"Otu0119",NA,NA
"Otu0120",NA,NA
"Otu0121",NA,NA
"Otu0124",NA,NA
"Otu0126",NA,NA
"Otu0127",NA,NA
"Otu0129",NA,NA
"Otu0131",NA,NA
"Otu0132",NA,NA
"Otu0134",NA,NA
"Otu0135",NA,NA
"Otu0136",NA,NA
"Otu0137",NA,NA
"Otu0139",NA,NA
"Otu0140",NA,NA
"Otu0141",NA,NA
"Otu0142",NA,NA
"Otu0143",NA,NA
"Otu0144","Photobacterium","marinum"
"Otu0145",NA,NA
"Otu0146",NA,NA
"Otu0148","Pseudomonas","aeruginosa/alkylphenolica/argentinensis/benzenivorans/cremoricolorata/cuatrocienegasensis/flavescens/fluorescens/fulva/glareae/hunanensis/mendocina/monteilii/mosselii/oryzihabitans/parafulva/plecoglossicida/punonensis/putida/segetis/seleniipraecipitans/soli/straminea/taiwanensis"
"Otu0150",NA,NA
"Otu0151","Sphingopyxis","alaskensis/bauzanensis/chilensis/fribergensis/ginsengisoli/italica/panaciterrae"
"Otu0153",NA,NA
"Otu0155","Ruegeria","atlantica/lacuscaerulensis/pomeroyi"
"Otu0156",NA,"celer/indica/marina/nigricans"
"Otu0157","Prevotella","timonensis"
"Otu0158",NA,NA
"Otu0159","Vibrio","fluvialis/furnissii/hepatarius/parahaemolyticus/tubiashii/vulnificus"
"Otu0160",NA,NA
"Otu0161",NA,NA
"Otu0163",NA,NA
"Otu0164",NA,NA
"Otu0165",NA,NA
"Otu0167","Vibrio","panuliri/ponticus/zhuhaiensis"
"Otu0168",NA,NA
"Otu0170","Alishewanella","aestuarii/agri/jeotgali"
"Otu0171","Peptoniphilus","gorbachii/harei/phoceensis/rhinitidis/senegalensis/tyrrelliae"
"Otu0172","Prochlorococcus","marinus"
"Otu0173",NA,NA
"Otu0174","Aestuariibacter","aggregatus"
"Otu0175",NA,NA
"Otu0176",NA,NA
"Otu0177",NA,NA
"Otu0178",NA,NA
"Otu0182",NA,NA
"Otu0183",NA,NA
"Otu0184",NA,NA
"Otu0187",NA,NA
"Otu0188",NA,NA
"Otu0190","Thalassotalea","agarivorans/euphylliae/montiporae"
"Otu0191",NA,NA
"Otu0192",NA,NA
"Otu0193",NA,NA
"Otu0194",NA,NA
"Otu0195",NA,NA
"Otu0199","Idiomarina","loihiensis/piscisalsi/seosinensis/zobellii"
"Otu0200",NA,NA
"Otu0201",NA,NA
"Otu0202","Muriicola","jejuensis"
"Otu0203",NA,NA
"Otu0204",NA,NA
"Otu0206",NA,NA
