genotype,sums,,,,,,
Acer565,32413,,,,,,
Acer235R,32857,,,,,,
Acer184,32941,,,,,,
Acer112,33159,,,,,,
Acer576,33485,,,,,,
Acer180,33737,,,,,,
Acer255,34339,,,,,,
Acer596,34411,,,,,,
Acer219,34730,,,,,,
Acer15,34750,,,,,,
Acer167,35093,,,,,,
Acer128,35870,,,,,,
Acer258,36178,,,,,,
Acer183,36287,,,,,,
Acer197,36379,,,,,,
Acer91,36417,,,,,,
Acer199,36485,,,,,,
Acer416,36628,,,,,,
Acer267,36892,,,,,,
Acer146,37331,,,,,,
Acer240,37440,,,,,,
Acer159,37456,,,,,,
Acer231,38333,,,,,,
Acer13,38522,,,,,,
Acer236,38699,,,,,,
Acer215R,38728,,,,,,
Acer575,38851,,,,,,
Acer242,39334,,,,,,
Acer223,39512,,,,,,
Acer162,40492,,,,,,
Acer595,40543,,,,,,
Acer241,41366,,,,,,
Acer236R,41390,,,,,,
Acer212R,41410,,,,,,
Acer243,41433,,,,,,
Acer107,41839,,,,,,
Acer187,42091,,,,,,
Acer218,42842,,,,,,
Acer415,42957,,,,,,
Acer250,43032,,,,,,
Acer164,43289,,,,,,
Acer229,43655,,,,,,
Acer223R,43710,,,,,,
Acer198,43741,,,,,,
Acer230,44116,,,,,,
Acer270,44232,,,,,,
Acer559,44342,,,,,,
Acer158,44513,,,,,,
Acer513,44686,,,,,,
Acer357,44850,,,,,,
Acer120,45301,,,,,,
Acer178,45683,,,,,,
Acer175,45869,,,,,,
Acer590,46020,,,,,,
Acer126,46243,,,,,,
Acer263,46493,,,,,,
Acer406,46610,,,,,,
Acer135,46623,,,,,,
Acer558,46629,,,,,,
Acer165,47004,,,,,,
Acer225R,48134,,,,,,
Acer273,48137,,,,,,
Acer362,48412,,,,,,
Acer268,48627,,,,,,
Acer17,48925,,,,,,
Acer259,49174,,,,,,
Acer244,49606,,,,,,
Acer262,49644,,,,,,
Acer277,49811,,,,,,
Acer152,49879,,,,,,
Acer106,50126,,,,,,
Acer246,50130,,,,,,
Acer81,51084,,,,,,
Acer594,51370,,,,,,
Acer398,51452,,,,,,
Acer160,52500,,,,,,
Acer141,52644,,,,,,
Acer222R,52975,,,,,,
Acer279,53181,,,,,,
Acer419,53383,,,,,,
Acer261,53707,,,,,,
Acer179,54282,,,,,,
Acer224,55300,,,,,,
Acer40,55373,,,,,,
Acer209,55765,,,,,,
Acer68c,55816,,,,,,
Acer274,56077,,,,,,
Acer402,56146,,,,,,
Acer233,56562,,,,,,
Acer217R,56618,,,,,,
Acer212,56770,,,,,,
Acer508,57088,,,,,,
Acer222,59202,,,,,,
Acer356,59541,,,,,,
Acer346,59660,,,,,,
Acer195,60088,,,,,,
Acer69b,60229,,,,,,
Acer176,60957,,,,,,
Acer131,62157,,,,,,
Acer214,62299,,,,,,
Acer235,62527,,,,,,
Acer143,63307,,,,,,
Acer129,63543,,,,,,
Acer221,63987,,,,,,
Acer100,64000,,,,,,
Acer366,64095,,,,,,
Acer232R,64317,,,,,,
Acer118,64928,,,,,,
Acer350,66282,,,,,,
Acer150,66885,,,,,,
Acer157,67898,,,,,,
Acer228,68077,,,,,,
Acer149,69013,,,,,,
Acer373,69037,,,,,,
Acer117,69744,,,,,,
Acer207R,70025,,,,,,
Acer355,70306,,,,,,
Acer340,71709,,,,,,
Acer103,72233,,,,,,
Acer95,72844,,,,,,
Acer154,72913,,,,,,
Acer132,73936,,,,,,
Acer370,74980,,,,,,
Acer67b,76182,,,,,,
Acer220,77588,,,,,,
Acer572,80119,,,,,,
Acer395,80443,,,,,,
Acer238,81986,,,,,,
Acer134,82645,,,,,,
Acer201,83112,,,,,,
Acer256,84435,,,,,,
Acer234,87374,,,,,,
Acer506,91589,,,,,,
Acer343,95702,,,,,,
Acer339,97781,,,,,,
Acer365,102341,,,,,,
Acer345,109016,,,,,,
Acer133,110262,,,,,,
Acer67c,134342,,,,,,
Acer217,135267,,,,,,
Acer208R,143450,,,,,,
Acer99,148147,,,,,,
Acer341,174057,,,,,,
Acer364,271198,,,,,,
Acer367,276261,,,,,,
Acer372,302042,,,,,,
Acer369,360915,,,,,,
Acer413,458431,,,,,,
