Group,sample_name
Acer100_S145_L001,Acer100
Acer101_S157_L001,Acer101
Acer102_S169_L001,Acer102
Acer103_S181_L001,Acer103
Acer104_S98_L001,Acer104
Acer105_S110_L001,Acer105
Acer106_S122_L001,Acer106
Acer107_S134_L001,Acer107
Acer108_S146_L001,Acer108
Acer109_S158_L001,Acer109
Acer10_S10_L001,Acer10
Acer110_S170_L001,Acer110
Acer111_S182_L001,Acer111
Acer112_S99_L001,Acer112
Acer113_S111_L001,Acer113
Acer114_S123_L001,Acer114
Acer115_S135_L001,Acer115
Acer116_S147_L001,Acer116
Acer117_S159_L001,Acer117
Acer118_S171_L001,Acer118
Acer119_S183_L001,Acer119
Acer11_S11_L001,Acer11
Acer120_S100_L001,Acer120
Acer121_S112_L001,Acer121
Acer122_S124_L001,Acer122
Acer123_S136_L001,Acer123
Acer124_S148_L001,Acer124
Acer125_S160_L001,Acer125
Acer126_S172_L001,Acer126
Acer127_S184_L001,Acer127
Acer128_S101_L001,Acer128
Acer129_S113_L001,Acer129
Acer12_S12_L001,Acer12
Acer130_S125_L001,Acer130
Acer131_S137_L001,Acer131
Acer132_S149_L001,Acer132
Acer133_S161_L001,Acer133
Acer134_S173_L001,Acer134
Acer135_S185_L001,Acer135
Acer136_S102_L001,Acer136
Acer137_S114_L001,Acer137
Acer138_S126_L001,Acer138
Acer139_S138_L001,Acer139
Acer13_S13_L001,Acer13
Acer140_S150_L001,Acer140
Acer141_S162_L001,Acer141
Acer142_S174_L001,Acer142
Acer143_S186_L001,Acer143
Acer144_S103_L001,Acer144
Acer145_S115_L001,Acer145
Acer146_S127_L001,Acer146
Acer147_S139_L001,Acer147
Acer148_S151_L001,Acer148
Acer149_S163_L001,Acer149
Acer14_S14_L001,Acer14
Acer150_S175_L001,Acer150
Acer151_S187_L001,Acer151
Acer152_S104_L001,Acer152
Acer153_S116_L001,Acer153
Acer154_S128_L001,Acer154
Acer155_S140_L001,Acer155
Acer156_S152_L001,Acer156
Acer157_S164_L001,Acer157
Acer158_S176_L001,Acer158
Acer159_S188_L001,Acer159
Acer15_S15_L001,Acer15
Acer160_S105_L001,Acer160
Acer161_S117_L001,Acer161
Acer162_S129_L001,Acer162
Acer163b_S292_L001,Acer163b
Acer164_S177_L001,Acer164
Acer165_S189_L001,Acer165
Acer166_S118_L001,Acer166
Acer167_S196_L001,Acer167
Acer168_S197_L001,Acer168
Acer169_S198_L001,Acer169
Acer16_S16_L001,Acer16
Acer170_S199_L001,Acer170
Acer171_S200_L001,Acer171
Acer172_S201_L001,Acer172
Acer173_S202_L001,Acer173
Acer174_S203_L001,Acer174
Acer175_S204_L001,Acer175
Acer176_S205_L001,Acer176
Acer177_S206_L001,Acer177
Acer178_S207_L001,Acer178
Acer179_S208_L001,Acer179
Acer17_S17_L001,Acer17
Acer180_S209_L001,Acer180
Acer181_S210_L001,Acer181
Acer182_S211_L001,Acer182
Acer183_S212_L001,Acer183
Acer184_S213_L001,Acer184
Acer185_S214_L001,Acer185
Acer186_S215_L001,Acer186
Acer187_S216_L001,Acer187
Acer188_S217_L001,Acer188
Acer189_S218_L001,Acer189
Acer18_S18_L001,Acer18
Acer190_S219_L001,Acer190
Acer191_S220_L001,Acer191
Acer192_S221_L001,Acer192
Acer193_S222_L001,Acer193
Acer194_S223_L001,Acer194
Acer195_S224_L001,Acer195
Acer196_S225_L001,Acer196
Acer197_S226_L001,Acer197
Acer198_S227_L001,Acer198
Acer199_S228_L001,Acer199
Acer19_S19_L001,Acer19
Acer1_S1_L001,Acer1
Acer200_S229_L001,Acer200
Acer201_S230_L001,Acer201
Acer202_S231_L001,Acer202
Acer203_S232_L001,Acer203
Acer204_S233_L001,Acer204
Acer205_S234_L001,Acer205
Acer206_S235_L001,Acer206
Acer207R_S301_L001,Acer207R
Acer207_S236_L001,Acer207
Acer208R_S302_L001,Acer208R
Acer208_S237_L001,Acer208
Acer209_S238_L001,Acer209
Acer20_S20_L001,Acer20
Acer210_S239_L001,Acer210
Acer211_S240_L001,Acer211
Acer212R_S303_L001,Acer212R
Acer212_S241_L001,Acer212
Acer213_S242_L001,Acer213
Acer214_S243_L001,Acer214
Acer215R_S304_L001,Acer215R
Acer215_S244_L001,Acer215
Acer216_S245_L001,Acer216
Acer217R_S305_L001,Acer217R
Acer217_S246_L001,Acer217
Acer218_S247_L001,Acer218
Acer219_S248_L001,Acer219
Acer21_S21_L001,Acer21
Acer220_S249_L001,Acer220
Acer221_S250_L001,Acer221
Acer222R_S306_L001,Acer222R
Acer222_S251_L001,Acer222
Acer223R_S307_L001,Acer223R
Acer223_S252_L001,Acer223
Acer224_S253_L001,Acer224
Acer225R_S308_L001,Acer225R
Acer225_S254_L001,Acer225
Acer226_S255_L001,Acer226
Acer227_S256_L001,Acer227
Acer228_S257_L001,Acer228
Acer229_S258_L001,Acer229
Acer22_S22_L001,Acer22
Acer230_S259_L001,Acer230
Acer231_S260_L001,Acer231
Acer232R_S309_L001,Acer232R
