Genotype name,Given by,Given to,Previous name (if applicable),Collection Site,Collected by,Collection date,Collection permit,Sequenced (y/n),Sequenced date,Sequenced by,Genet info
8a,NSU,"Mote, FWC, UM, CRF",n/a,Nearshore Broward County,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,,,,
9a,NSU,"Mote, FWC, UM, CRF",n/a,Nearshore Broward County,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,,,,
Yung's-A,UM,"Mote, FWC, NSU, CRF",,Patch Reef just south of Fowey Rocks lighthouse,UM,4/20/18,SAL-18-1723-SCRP,,,,
Acerv 1,UM,"Mote, FWC, NSU, CRF",,Patch Reef East of Old Rhodes Key,UM,7/8/07,BISC-2009-SCI-0013,,,,
Acerv 3,UM,"Mote, FWC, NSU, CRF",,Patch Reef East of Old Rhodes Key,UM,7/16/07,BISC-2009-SCI-0013,,,,
Thicket 3,UM,"Mote, FWC, NSU, CRF",TT,Patch Reef East of the southern end of Elliot Key,UM,7/8/07,BISC-2009-SCI-0013,,,,
Marker 9,UM,"Mote, FWC, NSU, CRF",,"Patch Reef off of Sands Key, by Marker 9",UM,7/11/07,BISC-2009-SCI-0013,,,,
Elkhorn,UM,"Mote, FWC, NSU, CRF",,Elkhorn Reef; reef off of Totten Key,UM,6/26/07,BISC-2009-SCI-0013,,,,
Cheetos-b,UM,"Mote, FWC, NSU, CRF",,Patch Reef East of Old Rhodes Key,UM,2009,BISC-2009-SCI-0013,,,,
Stagreef-A,UM,"Mote, FWC, NSU, CRF",,Stagreef,UM,2009,BISC-2009-SCI-0013,,,,
Sunny Isles-C,UM,"Mote, FWC, NSU, CRF",,Sunny Isles,UM,4/6/18,SAL-18-1723-SCRP,,,,
Miami Beach-D,UM,"Mote, FWC, NSU, CRF",,Miami Beach,UM,2009,BISC-2009-SCI-0013,,,,
Kelsey's-1,UM,"Mote, FWC, NSU, CRF",,Patch Reef East of the southern end of Elliot Key,UM,2009,BISC-2009-SCI-0013,,,,
North Midchannel-A,UM,"Mote, FWC, NSU, CRF",,Patch reef off of northern end of Elliot Key,UM,2009,BISC-2009-SCI-0013,,,,
Coopers,UM,"Mote, FWC, NSU, CRF",,Patch reef off of northern end of Sands Key,UM,7/11/07,BISC-2009-SCI-0013,,,,
Steph's-A,UM,"Mote, FWC, NSU, CRF",,Patch Reef East of Elliot Key,UM,2009,BISC-2009-SCI-0013,,,,
Acerv 2,UM,"Mote, FWC, NSU, CRF",,Patch Reef East of Old Rhodes Key,UM,7/16/07,SAL-18-1723-SCRP,,,,
M-L-4,Mote,"FWC, CRF, UM, NSU",4,patch E. of Looe Research,Mote,2/23/08,FKNMS-2007-041 (TNC - Meaghan Johnson),,,,
M-L-8,Mote,"FWC, CRF, UM, NSU",8,mid-channel patch off Summerland,Mote,2/23/08,FKNMS-2007-041 (TNC - Meaghan Johnson),,,,
M-L-10,Mote,"FWC, CRF, UM, NSU",10,Chad's nearshore heads,Mote,2/23/08,FKNMS-2007-041 (TNC - Meaghan Johnson),,,,
M-L-13,Mote,"FWC, CRF, UM, NSU",13,Munson Reef,Mote,12/1/09,FKNMS-2009-099 (TNC - Meaghan Johnson),,,,
M-L-20,Mote,"FWC, CRF, UM, NSU",20,nearshore field trial site,Mote,12/15/09,FKNMS-2009-099 (TNC - Meaghan Johnson),,,,
M-L-36,Mote,"FWC, CRF, UM, NSU",36,offshore patch N. of Looe Key,Mote,4/1/10,FKNMS-2009-099 (TNC - Meaghan Johnson),,,,
M-L-38,Mote,"FWC, CRF, UM, NSU",38,nursery reef,Mote,4/5/10,FKNMS-2009-099 (TNC - Meaghan Johnson),,,,
M-L-44,Mote,"FWC, CRF, UM, NSU",44,Big Pine Shoals,Mote,5/21/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson),,,,
M-L-46,Mote,"FWC, CRF, UM, NSU",46,Wonderland,Mote,5/25/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson),,,,
M-L-47,Mote,"CRF, UM, NSU",47,patch 1.8nm WSW of Wonderland,Mote,5/25/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson),,,,
M-L-48,Mote,"FWC, CRF, UM, NSU",48,Maryland Shoals Rockpiles,Mote,5/28/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson),,,,
M-L-51,Mote,"FWC, CRF, UM, NSU",51,ledge 1.2 nm E of American Shoals,Mote,10/1/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson),,,,
M-L-54,Mote,"FWC, CRF, UM, NSU",54,W. end of offshore patches N. of Looe,Mote,11/11/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson),,,,
M-L-56,Mote,"FWC, CRF, UM, NSU",56,W. end of offshore patches N. of Looe,Mote,11/11/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson),,,,
M-L-58,Mote,"FWC, CRF, UM, NSU",58,Lions Den,Mote,11/16/10,FKNMS-2009-099-A1 (TNC - Meaghan Johnson),,,,
M-L-63,Mote,"CRF, UM, NSU",63,Super Stag,Mote,5/21/13,FKNMS-2011-150 (TNC - Caitlin Lustic),,,,
M-L-70,Mote,"FWC, CRF, UM, NSU",70,patch 0.6nm WSW of Wonderland,Mote,5/51/15,FKNMS-2011-150-A3 (TNC - Caitlin Lustic),,,,
M-L-75,Mote,"CRF, UM, NSU",75,ledge west of Looe,Mote,12/15/15,FKNMS-2011-150-A3 (TNC - Caitlin Lustic),,,,
M-L-76,Mote,"FWC, CRF, UM, NSU",76,patch W. of Erinn's reef,Mote,2/17/16,FKNMS-2015-163 (Mote - Erich Bartels),,,,
M-L-77,Mote,"FWC, CRF, UM, NSU",77,another patch E. of Erinn's reef,Mote,2/17/16,FKNMS-2015-163 (Mote - Erich Bartels),,,,
M-L-78,Mote,"FWC, CRF, UM, NSU",78,another patch E. of Erinn's reef,Mote,2/17/16,FKNMS-2015-163 (Mote - Erich Bartels),,,,
M-L-79,Mote,"FWC, CRF, UM, NSU",79,patch E. of American,Mote,2/29/16,FKNMS-2015-163 (Mote - Erich Bartels),,,,
M-L-80,Mote,"FWC, CRF, UM, NSU",80,patch E. of American,Mote,2/29/16,FKNMS-2015-163 (Mote - Erich Bartels),,,,
M-L-88,Mote,"FWC, CRF, UM, NSU",88,ledge W. of American,Mote,3/2/16,FKNMS-2015-163 (Mote - Erich Bartels),,,,
F-M-19,Mote,"FWC, NSU, UM, CRF",19,off Long Key,FWC,4/20/10,FKNMS-2015-129-A2,,,,
,Mote,CRF,U13,,,,,,,,
,Mote,CRF,U28,,,,,,,,
,Mote,CRF,U79,,,,,,,,
,Mote,CRF,U80,,,,,,,,
