"","sample_name","type","duplicates","species","genet.ID","Away.nursery","Home.nursery","frag.id"
"Acer25","Acer25","sample","","Acer","Acer062","FWC","CRF","Acer062 CRF "
"Acer250","Acer250","sample","","Acer","8","CRF","NSU","8 NSU "
"Acer251","Acer251","sample","","Acer","ML56","CRF","Mote","ML56 Mote "
"Acer252","Acer252","sample","","Acer","7","CRF","NSU","7 NSU "
"Acer253","Acer253","sample","","Acer","ML13","CRF","Mote","ML13 Mote "
"Acer254","Acer254","sample","","Acer","Cheetosb","CRF","UM","Cheetosb UM "
"Acer255","Acer255","sample","","Acer","YungsA","CRF","UM","YungsA UM "
"Acer256","Acer256","sample","","Acer","ML58","CRF","Mote","ML58 Mote "
"Acer257","Acer257","sample","","Acer","Acer001","CRF","CRF","Acer001 CRF "
"Acer258","Acer258","sample","","Acer","6","CRF","NSU","6 NSU "
"Acer259","Acer259","sample","","Acer","ML54","CRF","Mote","ML54 Mote "
"Acer26","Acer26","sample","","Acer","FM13","FWC","FWC","FM13 FWC "
"Acer260","Acer260","sample","","Acer","15","CRF","NSU","15 NSU "
"Acer261","Acer261","sample","","Acer","ML79","CRF","Mote","ML79 Mote "
"Acer262","Acer262","sample","","Acer","Acer127","CRF","CRF","Acer127 CRF "
"Acer263","Acer263","sample","","Acer","Acer093","CRF","CRF","Acer093 CRF "
"Acer264","Acer264","sample","","Acer","Acer061","CRF","CRF","Acer061 CRF "
"Acer265","Acer265","sample","","Acer","Acer041","CRF","CRF","Acer041 CRF "
"Acer266","Acer266","sample","","Acer","Acer103","CRF","CRF","Acer103 CRF "
"Acer267","Acer267","sample","","Acer","3a","CRF","NSU","3a NSU "
"Acer268","Acer268","sample","","Acer","ML70","CRF","Mote","ML70 Mote "
"Acer269","Acer269","sample","","Acer","CoopersA","CRF","UM","CoopersA UM "
"Acer27","Acer27","sample","","Acer","FM6","FWC","FWC","FM6 FWC "
"Acer270","Acer270","sample","","Acer","ML8","CRF","Mote","ML8 Mote "
"Acer271","Acer271","sample","","Acer","Thicket3","CRF","UM","Thicket3 UM "
"Acer272b","Acer272b","sample","dup","Acer","ML4","CRF","Mote","ML4 Mote "
"Acer272","Acer272","sample","dup","Acer","ML4","CRF","Mote","ML4 Mote "
"Acer273","Acer273","sample","","Acer","ML36","CRF","Mote","ML36 Mote "
"Acer274","Acer274","sample","","Acer","FM19","CRF","Mote","FM19 Mote "
"Acer275","Acer275","sample","","Acer","Acer049","CRF","CRF","Acer049 CRF "
"Acer276","Acer276","sample","","Acer","9a","CRF","NSU","9a NSU "
"Acer277","Acer277","sample","","Acer","ML77","CRF","Mote","ML77 Mote "
"Acer278","Acer278","sample","","Acer","ML48","CRF","Mote","ML48 Mote "
"Acer279","Acer279","sample","","Acer","Kelseys1","CRF","UM","Kelseys1 UM "
"Acer28","Acer28","sample","","Acer","Acer046","FWC","CRF","Acer046 CRF "
"Acer29","Acer29","sample","","Acer","Acer071","FWC","CRF","Acer071 CRF "
"Acer3","Acer3","sample","","Acer","ML77","Mote","Mote","ML77 Mote "
"Acer30","Acer30","sample","","Acer","FM14","FWC","FWC","FM14 FWC "
"Acer31","Acer31","sample","","Acer","ML36","Mote","Mote","ML36 Mote "
"Acer32","Acer32","sample","","Acer","Acer014","FWC","CRF","Acer014 CRF "
"Acer33","Acer33","sample","","Acer","Acer071","Mote","CRF","Acer071 CRF "
"Acer339","Acer339","sample","","Acer","8a","UM","NSU","8a NSU "
"Acer34","Acer34","sample","","Acer","ML48","Mote","Mote","ML48 Mote "
"Acer340","Acer340","sample","","Acer","15","UM","NSU","15 NSU "
"Acer341","Acer341","sample","","Acer","CoopersA","UM","UM","CoopersA UM "
"Acer343","Acer343","sample","","Acer","Kelseys1","UM","UM","Kelseys1 UM "
"Acer345","Acer345","sample","","Acer","4a","UM","NSU","4a NSU "
"Acer346","Acer346","sample","","Acer","6a","UM","NSU","6a NSU "
"Acer35","Acer35","sample","","Acer","9a","Mote","NSU","9a NSU "
"Acer350","Acer350","sample","","Acer","13","UM","NSU","13 NSU "
"Acer355","Acer355","sample","","Acer","YungsA","UM","UM","YungsA UM "
"Acer356","Acer356","sample","","Acer","Acer057","UM","CRF","Acer057 CRF "
"Acer357","Acer357","sample","","Acer","SunnyIslesC","UM","UM","SunnyIslesC UM "
"Acer358","Acer358","sample","","Acer","Marker9","UM","UM","Marker9 UM "
"Acer36","Acer36","sample","","Acer","Acer014","Mote","CRF","Acer014 CRF "
"Acer362","Acer362","sample","","Acer","2a","UM","NSU","2a NSU "
"Acer364","Acer364","sample","","Acer","MiamiBeachD","UM","UM","MiamiBeachD UM "
"Acer365","Acer365","sample","","Acer","Thicket3","UM","UM","Thicket3 UM "
"Acer366","Acer366","sample","","Acer","Acer001","UM","CRF","Acer001 CRF "
"Acer367","Acer367","sample","","Acer","8","UM","NSU","8 NSU "
"Acer369","Acer369","sample","","Acer","4","UM","NSU","4 NSU "
"Acer37","Acer37","sample","","Acer","ML41","Mote","Mote","ML41 Mote "
"Acer370","Acer370","sample","","Acer","20","UM","NSU","20 NSU "
"Acer372","Acer372","sample","","Acer","14","UM","NSU","14 NSU "
"Acer373","Acer373","sample","","Acer","5a","UM","NSU","5a NSU "
"Acer38","Acer38","sample","","Acer","Acer120","Mote","CRF","Acer120 CRF "
"Acer39","Acer39","sample","","Acer","ML44","Mote","Mote","ML44 Mote "
"Acer395","Acer395","sample","","Acer","ML88","UM","Mote","ML88 Mote "
"Acer398","Acer398","sample","","Acer","ML13","UM","Mote","ML13 Mote "
"Acer4","Acer4","sample","","Acer","Thicket3","Mote","UM","Thicket3 UM "
"Acer40","Acer40","sample","","Acer","Acer060","Mote","CRF","Acer060 CRF "
