"","sample_name","type","duplicates","species","genet.ID","Away.nursery","Home.nursery","frag.id"
"Acer71","Acer71","sample","dup","Acer","8a","Mote","NSU","8a NSU "
"Acer72","Acer72","sample","","Acer","ML50","Mote","Mote","ML50 Mote "
"Acer73","Acer73","sample","","Acer","Acer091","Mote","CRF","Acer091 CRF "
"Acer74b","Acer74b","sample","dup","Acer","15","Mote","NSU","15 NSU "
"Acer74","Acer74","sample","dup","Acer","15","Mote","NSU","15 NSU "
"Acer75","Acer75","sample","","Acer","ML54","Mote","Mote","ML54 Mote "
"Acer76","Acer76","sample","","Acer","ML31","Mote","Mote","ML31 Mote "
"Acer77","Acer77","sample","","Acer","Elkhorn","Mote","UM","Elkhorn UM "
"Acer78","Acer78","sample","","Acer","6a","Mote","NSU","6a NSU "
"Acer79","Acer79","sample","","Acer","Acer097","Mote","CRF","Acer097 CRF "
"Acer8","Acer8","sample","","Acer","Acer049","Mote","CRF","Acer049 CRF "
"Acer80","Acer80","sample","","Acer","ML80","Mote","Mote","ML80 Mote "
"Acer81","Acer81","sample","","Acer","ML1","Mote","Mote","ML1 Mote "
"Acer82","Acer82","sample","","Acer","Acer030","Mote","CRF","Acer030 CRF "
"Acer83","Acer83","sample","","Acer","YungsA","Mote","UM","YungsA UM "
"Acer84","Acer84","sample","","Acer","5a","Mote","NSU","5a NSU "
"Acer85","Acer85","sample","","Acer","ML34","Mote","Mote","ML34 Mote "
"Acer86","Acer86","sample","","Acer","ML7","Mote","Mote","ML7 Mote "
"Acer87","Acer87","sample","","Acer","Acer126","Mote","CRF","Acer126 CRF "
"Acer88","Acer88","sample","","Acer","ML84","Mote","Mote","ML84 Mote "
"Acer89","Acer89","sample","","Acer","Acer123","Mote","CRF","Acer123 CRF "
"Acer9","Acer9","sample","","Acer","Acer117","Mote","CRF","Acer117 CRF "
"Acer90","Acer90","sample","","Acer","CoopersA","Mote","UM","CoopersA UM "
"Acer91","Acer91","sample","","Acer","ML57","Mote","Mote","ML57 Mote "
"Acer92","Acer92","sample","","Acer","ML56","Mote","Mote","ML56 Mote "
"Acer93","Acer93","sample","","Acer","4","Mote","NSU","4 NSU "
"Acer94","Acer94","sample","","Acer","ML70","Mote","Mote","ML70 Mote "
"Acer95","Acer95","sample","","Acer","ML76","Mote","Mote","ML76 Mote "
"Acer96","Acer96","sample","","Acer","ML4","Mote","Mote","ML4 Mote "
"Acer97","Acer97","sample","","Acer","Acer022","Mote","CRF","Acer022 CRF "
"Acer98","Acer98","sample","","Acer","ML79","Mote","Mote","ML79 Mote "
"Acer99","Acer99","sample","","Acer","SunnyIslesC","Mote","UM","SunnyIslesC UM "
"AcerDNAblankP1","AcerDNAblankP1","DNAblank","","Acer",NA,NA,NA,"NA NA "
"AcerMockP1","AcerMockP1","Mock","","Acer",NA,NA,NA,"NA NA "
"AcerMOCKP2","AcerMOCKP2","Mock","","Acer",NA,NA,NA,"NA NA "
"AcerMockP3","AcerMockP3","Mock","","Acer",NA,NA,NA,"NA NA "
"AcerMOCKP4","AcerMOCKP4","Mock","","Acer",NA,NA,NA,"NA NA "
"AcerNTCP1a","AcerNTCP1a","NTC","","Acer",NA,NA,NA,"NA NA "
"AcerNTCP1b","AcerNTCP1b","NTC","","Acer",NA,NA,NA,"NA NA "
"AcerNTCP2a","AcerNTCP2a","NTC","","Acer",NA,NA,NA,"NA NA "
"AcerNTCP2b","AcerNTCP2b","NTC","","Acer",NA,NA,NA,"NA NA "
"AcerNTCP3a","AcerNTCP3a","NTC","","Acer",NA,NA,NA,"NA NA "
"AcerNTCP3b","AcerNTCP3b","NTC","","Acer",NA,NA,NA,"NA NA "
"AcerNTCP4a","AcerNTCP4a","NTC","","Acer",NA,NA,NA,"NA NA "
