sample_name,tube.id,type,duplicates,species,Swap,PCRplate
Acer93,93,sample,,Acer,Frozen,2
Acer278,278,sample,,Acer,Frozen,2
Acer271,271,sample,,Acer,Frozen,2
Acer247,247,sample,,Acer,Frozen,2
Acer100,100,sample,,Acer,Frozen,2
Acer108,108,sample,,Acer,Frozen,2
Acer116,116,sample,,Acer,Frozen,2
Acer124,124,sample,,Acer,Frozen,2
Acer132,132,sample,,Acer,Frozen,2
Acer140,140,sample,,Acer,Frozen,2
Acer148,148,sample,,Acer,Frozen,2
Acer156,156,sample,,Acer,Frozen,2
Acer94,94,sample,,Acer,Frozen,2
Acer275,275,sample,,Acer,Frozen,2
Acer272,272,sample,dup,Acer,Frozen,2
Acer248,248,sample,,Acer,Frozen,2
Acer101,101,sample,,Acer,Frozen,2
Acer109,109,sample,,Acer,Frozen,2
Acer117,117,sample,,Acer,Frozen,2
Acer125,125,sample,,Acer,Frozen,2
Acer133,133,sample,,Acer,Frozen,2
Acer141,141,sample,,Acer,Frozen,2
Acer149,149,sample,,Acer,Frozen,2
Acer157,157,sample,,Acer,Frozen,2
Acer95,95,sample,,Acer,Frozen,2
Acer276,276,sample,,Acer,Frozen,2
Acer273,273,sample,,Acer,Frozen,2
Acer249,249,sample,,Acer,Frozen,2
Acer102,102,sample,,Acer,Frozen,2
Acer110,110,sample,,Acer,Frozen,2
Acer118,118,sample,,Acer,Frozen,2
Acer126,126,sample,,Acer,Frozen,2
Acer134,134,sample,,Acer,Frozen,2
Acer142,142,sample,,Acer,Frozen,2
Acer150,150,sample,,Acer,Frozen,2
Acer158,158,sample,,Acer,Frozen,2
Acer164,164,sample,,Acer,Frozen,2
Acer277,277,sample,,Acer,Frozen,2
Acer274,274,sample,,Acer,Frozen,2
Acer250,250,sample,,Acer,Frozen,2
Acer103,103,sample,,Acer,Frozen,2
Acer111,111,sample,dup,Acer,Frozen,2
Acer119,119,sample,,Acer,Frozen,2
Acer127,127,sample,,Acer,Frozen,2
Acer135,135,sample,,Acer,Frozen,2
Acer143,143,sample,,Acer,Frozen,2
Acer151,151,sample,,Acer,Frozen,2
Acer159,159,sample,,Acer,Frozen,2
Acer165,165,sample,,Acer,Frozen,2
AcerMOCKP2,MOCKP2,Mock,,Acer,Frozen,2
AcerNTCP2b,NTCP2b,NTC,,Acer,Frozen,2
Acer251,251,sample,,Acer,Frozen,2
AcerMockP3,MockP3,Mock,,Acer,Frozen,3
AcerNTCP3a,NTCP3a,NTC,,Acer,Frozen,3
AcerNTCP3b,NTCP3b,NTC,,Acer,Frozen,3
Acer167,167,sample,,Acer,Frozen,3
Acer168,168,sample,,Acer,Frozen,3
Acer169,169,sample,,Acer,Frozen,3
Acer170,170,sample,,Acer,Frozen,3
Acer171,171,sample,,Acer,Frozen,3
Acer172,172,sample,,Acer,Frozen,3
Acer173,173,sample,,Acer,Frozen,3
Acer174,174,sample,,Acer,Frozen,3
Acer175,175,sample,dup,Acer,Frozen,3
Acer176,176,sample,,Acer,Frozen,3
Acer177,177,sample,,Acer,Frozen,3
Acer178,178,sample,,Acer,Frozen,3
Acer179,179,sample,,Acer,Frozen,3
Acer180,180,sample,,Acer,Frozen,3
Acer181,181,sample,,Acer,Frozen,3
Acer182,182,sample,,Acer,Frozen,3
Acer183,183,sample,,Acer,Frozen,3
Acer184,184,sample,,Acer,Frozen,3
Acer185,185,sample,,Acer,Frozen,3
Acer186,186,sample,,Acer,Frozen,3
Acer187,187,sample,,Acer,Frozen,3
Acer188,188,sample,,Acer,Frozen,3
Acer189,189,sample,,Acer,Frozen,3
Acer190,190,sample,,Acer,Frozen,3
Acer191,191,sample,,Acer,Frozen,3
Acer192,192,sample,,Acer,Frozen,3
Acer193,193,sample,,Acer,Frozen,3
Acer194,194,sample,,Acer,Frozen,3
Acer195,195,sample,,Acer,Frozen,3
Acer196,196,sample,,Acer,Frozen,3
Acer197,197,sample,,Acer,Frozen,3
Acer198,198,sample,,Acer,Frozen,3
Acer199,199,sample,,Acer,Frozen,3
Acer200,200,sample,,Acer,Frozen,3
Acer201,201,sample,,Acer,Frozen,3
Acer202,202,sample,,Acer,Frozen,3
Acer203,203,sample,,Acer,Frozen,3
Acer204,204,sample,,Acer,Frozen,3
Acer205,205,sample,,Acer,Frozen,3
Acer206,206,sample,,Acer,Frozen,3
Acer207,207,sample,dup,Acer,Frozen,3
Acer208,208,sample,dup,Acer,Frozen,3
Acer209,209,sample,,Acer,Frozen,3
Acer210,210,sample,,Acer,Frozen,3
Acer211,211,sample,,Acer,Frozen,3
Acer212,212,sample,dup,Acer,Frozen,3
Acer213,213,sample,,Acer,Frozen,3
Acer214,214,sample,,Acer,Frozen,3
Acer215,215,sample,dup,Acer,Frozen,3
Acer216,216,sample,,Acer,Frozen,3
Acer217,217,sample,dup,Acer,Frozen,3
Acer218,218,sample,,Acer,Frozen,3
Acer219,219,sample,,Acer,Frozen,3
Acer220,220,sample,,Acer,Frozen,3
Acer221,221,sample,,Acer,Frozen,3
Acer222,222,sample,dup,Acer,Frozen,3
Acer223,223,sample,dup,Acer,Frozen,3
Acer224,224,sample,,Acer,Frozen,3
Acer225,225,sample,dup,Acer,Frozen,3
Acer226,226,sample,,Acer,Frozen,3
Acer227,227,sample,,Acer,Frozen,3
Acer228,228,sample,,Acer,Frozen,3
Acer229,229,sample,,Acer,Frozen,3
Acer230,230,sample,,Acer,Frozen,3
Acer231,231,sample,,Acer,Frozen,3
Acer232,232,sample,dup,Acer,Frozen,3
Acer233,233,sample,,Acer,Frozen,3
Acer234,234,sample,dup,Acer,Frozen,3
Acer235,235,sample,dup,Acer,Frozen,3
Acer236,236,sample,dup,Acer,Frozen,3
Acer237,237,sample,,Acer,Frozen,3
Acer238,238,sample,,Acer,Frozen,3
Acer239,239,sample,,Acer,Frozen,3
Acer240,240,sample,,Acer,Frozen,3
Acer241,241,sample,,Acer,Frozen,3
Acer242,242,sample,,Acer,Frozen,3
Acer243,243,sample,,Acer,Frozen,3
Acer252,252,sample,,Acer,Frozen,3
Acer253,253,sample,,Acer,Frozen,3
Acer254,254,sample,,Acer,Frozen,3
Acer255,255,sample,,Acer,Frozen,3
Acer256,256,sample,,Acer,Frozen,3
Acer257,257,sample,,Acer,Frozen,3
Acer258,258,sample,,Acer,Frozen,3
Acer259,259,sample,,Acer,Frozen,3
Acer260,260,sample,,Acer,Frozen,3
Acer261,261,sample,,Acer,Frozen,3
Acer262,262,sample,,Acer,Frozen,3
Acer263,263,sample,,Acer,Frozen,3
Acer264,264,sample,,Acer,Frozen,3
Acer265,265,sample,,Acer,Frozen,3
Acer266,266,sample,,Acer,Frozen,3
Acer267,267,sample,,Acer,Frozen,3
Acer68b,68,sample,dup,Acer,Frozen,4
AcerNTCP4a,NTCP4a,NTC,,Acer,,4
AcerMOCKP4,MOCKP4,Mock,,Acer,,4
Acer163b,163,sample,dup,Acer,Frozen,4
Acer67b,67,sample,dup,Acer,Frozen,4
Acer67c,67,sample,dup,Acer,Frozen,4
Acer68c,68,sample,dup,Acer,Frozen,4
Acer69b,69,sample,dup,Acer,Frozen,4
Acer70b,70,sample,dup,Acer,Frozen,4
Acer71b,71,sample,dup,Acer,Frozen,4
Acer74b,74,sample,dup,Acer,Frozen,4
Acer272b,272,sample,dup,Acer,Frozen,4
Acer207R,207,sample,,Acer,Fresh,4
Acer208R,208,sample,,Acer,Fresh,4
Acer212R,212,sample,,Acer,Fresh,4
Acer215R,215,sample,,Acer,Fresh,4
Acer217R,217,sample,,Acer,Fresh,4
Acer222R,222,sample,,Acer,Fresh,4
Acer223R,223,sample,,Acer,Fresh,4
Acer225R,225,sample,,Acer,Fresh,4
Acer232R,232,sample,,Acer,Fresh,4
Acer234R,234,sample,,Acer,Fresh,4
Acer235R,235,sample,,Acer,Fresh,4
Acer236R,236,sample,,Acer,Fresh,4
Acer339,339,sample,,Acer,Fresh,4
Acer340,340,sample,,Acer,Fresh,4
Acer341,341,sample,,Acer,Fresh,4
Acer343,343,sample,,Acer,Fresh,4
Acer345,345,sample,,Acer,Fresh,4
