sample_name,tube.id,type,duplicates,species
Acer176,176,sample,,Acer
Acer177,177,sample,,Acer
Acer178,178,sample,,Acer
Acer179,179,sample,,Acer
Acer180,180,sample,,Acer
Acer181,181,sample,,Acer
Acer182,182,sample,,Acer
Acer183,183,sample,,Acer
Acer184,184,sample,,Acer
Acer185,185,sample,,Acer
Acer186,186,sample,,Acer
Acer187,187,sample,,Acer
Acer188,188,sample,,Acer
Acer189,189,sample,,Acer
Acer190,190,sample,,Acer
Acer191,191,sample,,Acer
Acer192,192,sample,,Acer
Acer193,193,sample,,Acer
Acer194,194,sample,,Acer
Acer195,195,sample,,Acer
Acer196,196,sample,,Acer
Acer197,197,sample,,Acer
Acer198,198,sample,,Acer
Acer199,199,sample,,Acer
Acer200,200,sample,,Acer
Acer201,201,sample,,Acer
Acer202,202,sample,,Acer
Acer203,203,sample,,Acer
Acer204,204,sample,,Acer
Acer205,205,sample,,Acer
Acer206,206,sample,,Acer
Acer207,207,sample,dup,Acer
Acer208,208,sample,dup,Acer
Acer209,209,sample,,Acer
Acer210,210,sample,,Acer
Acer211,211,sample,,Acer
Acer212,212,sample,dup,Acer
Acer213,213,sample,,Acer
Acer214,214,sample,,Acer
Acer215,215,sample,dup,Acer
Acer216,216,sample,,Acer
Acer217,217,sample,dup,Acer
Acer218,218,sample,,Acer
Acer219,219,sample,,Acer
Acer220,220,sample,,Acer
Acer221,221,sample,,Acer
Acer222,222,sample,dup,Acer
Acer223,223,sample,dup,Acer
Acer224,224,sample,,Acer
Acer225,225,sample,dup,Acer
Acer226,226,sample,,Acer
Acer227,227,sample,,Acer
Acer228,228,sample,,Acer
Acer229,229,sample,,Acer
Acer230,230,sample,,Acer
Acer231,231,sample,,Acer
Acer232,232,sample,dup,Acer
Acer233,233,sample,,Acer
Acer234,234,sample,dup,Acer
Acer235,235,sample,dup,Acer
Acer236,236,sample,dup,Acer
Acer237,237,sample,,Acer
Acer238,238,sample,,Acer
Acer239,239,sample,,Acer
Acer240,240,sample,,Acer
Acer241,241,sample,,Acer
Acer242,242,sample,,Acer
Acer243,243,sample,,Acer
Acer252,252,sample,,Acer
Acer253,253,sample,,Acer
Acer254,254,sample,,Acer
Acer255,255,sample,,Acer
Acer256,256,sample,,Acer
Acer257,257,sample,,Acer
Acer258,258,sample,,Acer
Acer259,259,sample,,Acer
Acer260,260,sample,,Acer
Acer261,261,sample,,Acer
Acer262,262,sample,,Acer
Acer263,263,sample,,Acer
Acer264,264,sample,,Acer
Acer265,265,sample,,Acer
Acer266,266,sample,,Acer
Acer267,267,sample,,Acer
Acer68b,68,sample,,Acer
AcerNTCP4a,NTCP4a,NTC,,Acer
AcerMOCKP4,MOCKP4,Mock,,Acer
Acer163b,163,sample,dup,Acer
Acer67b,67,sample,dup,Acer
Acer67c,67,sample,dup,Acer
Acer68c,68,sample,dup,Acer
Acer69b,69,sample,dup,Acer
Acer70b,70,sample,dup,Acer
Acer71b,71,sample,dup,Acer
Acer74b,74,sample,dup,Acer
Acer272b,272,sample,dup,Acer
Acer207R,207,sample,dup,Acer
Acer208R,208,sample,dup,Acer
Acer212R,212,sample,dup,Acer
Acer215R,215,sample,dup,Acer
Acer217R,217,sample,dup,Acer
Acer222R,222,sample,dup,Acer
Acer223R,223,sample,dup,Acer
Acer225R,225,sample,dup,Acer
Acer232R,232,sample,dup,Acer
Acer234R,234,sample,dup,Acer
Acer235R,235,sample,dup,Acer
Acer236R,236,sample,dup,Acer
Acer339,339,sample,,Acer
Acer340,340,sample,,Acer
Acer341,341,sample,,Acer
Acer343,343,sample,,Acer
Acer345,345,sample,,Acer
Acer346,346,sample,,Acer
Acer350,350,sample,,Acer
Acer355,355,sample,,Acer
Acer356,356,sample,,Acer
Acer357,357,sample,,Acer
Acer358,358,sample,,Acer
Acer362,362,sample,,Acer
Acer364,364,sample,,Acer
Acer365,365,sample,,Acer
Acer366,366,sample,,Acer
Acer367,367,sample,,Acer
Acer369,369,sample,,Acer
Acer370,370,sample,,Acer
Acer372,372,sample,,Acer
Acer373,373,sample,,Acer
Acer395,395,sample,,Acer
Acer398,398,sample,,Acer
Acer402,402,sample,,Acer
Acer406,406,sample,,Acer
Acer410,410,sample,,Acer
Acer413,413,sample,,Acer
Acer414,414,sample,,Acer
Acer415,415,sample,,Acer
Acer416,416,sample,,Acer
Acer419,419,sample,,Acer
Acer504,504,sample,,Acer
Acer506,506,sample,,Acer
Acer508,508,sample,,Acer
Acer513,513,sample,,Acer
Acer515,515,sample,,Acer
Acer528,528,sample,,Acer
Acer534,534,sample,,Acer
Acer538,538,sample,,Acer
Acer547,547,sample,,Acer
Acer548,548,sample,,Acer
Acer553,553,sample,,Acer
Acer554,554,sample,,Acer
Acer555,555,sample,,Acer
Acer556,556,sample,,Acer
Acer557,557,sample,,Acer
Acer558,558,sample,,Acer
Acer559,559,sample,,Acer
Acer565,565,sample,,Acer
Acer569,569,sample,,Acer
Acer572,572,sample,,Acer
Acer575,575,sample,,Acer
Acer576,576,sample,,Acer
Acer581,581,sample,,Acer
Acer584,584,sample,,Acer
Acer590,590,sample,,Acer
Acer591,591,sample,,Acer
Acer594,594,sample,,Acer
Acer595,595,sample,,Acer
Acer596,596,sample,,Acer
Acer607,607,sample,,Acer
Apal288,288,sample,,Apal
Apal315,315,sample,,Apal
Apal257,257,sample,,Apal
Apal313,313,sample,,Apal
Apal367,367,sample,,Apal
Apal270,270,sample,,Apal
Apal380,380,sample,,Apal
Apal353,353,sample,,Apal
Apal307,307,sample,,Apal
Apal350,350,sample,,Apal
Apal297,297,sample,,Apal
Apal305,305,sample,,Apal
