genet.ID,Away.nursery,Home.nursery,tube.id,sample_name,type,duplicates,species,Swap,PCRplate,Other.name,Collection.Site,Latitude,Longitude,Collected.by,Collection.date,Collection.permit,frag.id,ed50
13,CRF,NSU,508,Acer508,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.14940071,-80.0970993,NSU,4/28/10,SAL-10-1086A-SCRP,13 NSU CRF Fresh,36.16783892
13,CRF,NSU,249,Acer249,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.14940071,-80.0970993,NSU,4/28/10,SAL-10-1086A-SCRP,13 NSU CRF Frozen,36.16783892
13,Mote,NSU,556,Acer556,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.14940071,-80.0970993,NSU,4/28/10,SAL-10-1086A-SCRP,13 NSU Mote Fresh,36.22768649
13,Mote,NSU,62,Acer62,sample,,Acer,Frozen,1,n/a,Nearshore Broward County,26.14940071,-80.0970993,NSU,4/28/10,SAL-10-1086A-SCRP,13 NSU Mote Frozen,36.22768649
13,NSU,NSU,185,Acer185,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.14940071,-80.0970993,NSU,4/28/10,SAL-10-1086A-SCRP,13 NSU NSU Frozen,36.58411872
13,UM,NSU,163,Acer163b,sample,dup,Acer,Frozen,4,n/a,Nearshore Broward County,26.14940071,-80.0970993,NSU,4/28/10,SAL-10-1086A-SCRP,13 NSU UM Frozen,36.67588583
13,UM,NSU,350,Acer350,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.14940071,-80.0970993,NSU,4/28/10,SAL-10-1086A-SCRP,13 NSU UM Fresh,36.67588583
14,CRF,NSU,223,Acer223R,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.07600021,-80.10430145,NSU,4/28/10,SAL-10-1086A-SCRP,14 NSU CRF Fresh,NA
14,Mote,NSU,555,Acer555,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.07600021,-80.10430145,NSU,4/28/10,SAL-10-1086A-SCRP,14 NSU Mote Fresh,NA
14,Mote,NSU,51,Acer51,sample,,Acer,Frozen,1,n/a,Nearshore Broward County,26.07600021,-80.10430145,NSU,4/28/10,SAL-10-1086A-SCRP,14 NSU Mote Frozen,NA
14,UM,NSU,372,Acer372,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.07600021,-80.10430145,NSU,4/28/10,SAL-10-1086A-SCRP,14 NSU UM Fresh,NA
14,UM,NSU,111,Acer111,sample,dup,Acer,Frozen,2,n/a,Nearshore Broward County,26.07600021,-80.10430145,NSU,4/28/10,SAL-10-1086A-SCRP,14 NSU UM Frozen,NA
14,UM,NSU,122,Acer122,sample,dup,Acer,Frozen,2,n/a,Nearshore Broward County,26.07600021,-80.10430145,NSU,4/28/10,SAL-10-1086A-SCRP,14 NSU UM Frozen,NA
15,Mote,NSU,74,Acer74,sample,dup,Acer,Frozen,1,n/a,Nearshore Broward County,26.06870079,-80.10430145,NSU,4/27/10,SAL-10-1086A-SCRP,15 NSU Mote Frozen,36.03231043
15,Mote,NSU,554,Acer554,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.06870079,-80.10430145,NSU,4/27/10,SAL-10-1086A-SCRP,15 NSU Mote Fresh,36.03231043
15,Mote,NSU,74,Acer74b,sample,dup,Acer,Frozen,4,n/a,Nearshore Broward County,26.06870079,-80.10430145,NSU,4/27/10,SAL-10-1086A-SCRP,15 NSU Mote Frozen,36.03231043
15,CRF,NSU,260,Acer260,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.06870079,-80.10430145,NSU,4/27/10,SAL-10-1086A-SCRP,15 NSU CRF Frozen,36.06277072
15,CRF,NSU,416,Acer416,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.06870079,-80.10430145,NSU,4/27/10,SAL-10-1086A-SCRP,15 NSU CRF Fresh,36.06277072
15,NSU,NSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.27212731
15,UM,NSU,132,Acer132,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.06870079,-80.10430145,NSU,4/27/10,SAL-10-1086A-SCRP,15 NSU UM Frozen,36.81558327
15,UM,NSU,340,Acer340,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.06870079,-80.10430145,NSU,4/27/10,SAL-10-1086A-SCRP,15 NSU UM Fresh,36.81558327
20,Mote,NSU,67,Acer67c,sample,dup,Acer,Frozen,4,n/a,Nearshore Broward County,25.99970055,-80.10800171,NSU,4/27/10,SAL-10-1086A-SCRP,20 NSU Mote Frozen,36.21104915
20,Mote,NSU,67,Acer67,sample,dup,Acer,Frozen,1,n/a,Nearshore Broward County,25.99970055,-80.10800171,NSU,4/27/10,SAL-10-1086A-SCRP,20 NSU Mote Frozen,36.21104915
20,Mote,NSU,67,Acer67b,sample,dup,Acer,Frozen,4,n/a,Nearshore Broward County,25.99970055,-80.10800171,NSU,4/27/10,SAL-10-1086A-SCRP,20 NSU Mote Frozen,36.21104915
20,Mote,NSU,553,Acer553,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,25.99970055,-80.10800171,NSU,4/27/10,SAL-10-1086A-SCRP,20 NSU Mote Fresh,36.21104915
20,CRF,NSU,238,Acer238,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,25.99970055,-80.10800171,NSU,4/27/10,SAL-10-1086A-SCRP,20 NSU CRF Frozen,36.22388464
20,CRF,NSU,419,Acer419,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,25.99970055,-80.10800171,NSU,4/27/10,SAL-10-1086A-SCRP,20 NSU CRF Fresh,36.22388464
20,UM,NSU,170,Acer170,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,25.99970055,-80.10800171,NSU,4/27/10,SAL-10-1086A-SCRP,20 NSU UM Frozen,36.41168759
20,UM,NSU,370,Acer370,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,25.99970055,-80.10800171,NSU,4/27/10,SAL-10-1086A-SCRP,20 NSU UM Fresh,36.41168759
20,NSU,NSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.63920401
2a,CRF,NSU,215,Acer215R,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.14780045,-80.09660339,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,2a NSU CRF Fresh,35.96068749
2a,CRF,NSU,222,Acer222,sample,dup,Acer,Frozen,3,n/a,Nearshore Broward County,26.14780045,-80.09660339,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,2a NSU CRF Frozen,35.96068749
2a,Mote,NSU,63,Acer63,sample,,Acer,Frozen,1,n/a,Nearshore Broward County,26.14780045,-80.09660339,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,2a NSU Mote Frozen,35.98928162
2a,Mote,NSU,559,Acer559,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.14780045,-80.09660339,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,2a NSU Mote Fresh,35.98928162
2a,NSU,NSU,184,Acer184,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.14780045,-80.09660339,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,2a NSU NSU Frozen,36.05739839
2a,UM,NSU,156,Acer156,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.14780045,-80.09660339,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,2a NSU UM Frozen,36.53312743
2a,UM,NSU,362,Acer362,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.14780045,-80.09660339,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,2a NSU UM Fresh,36.53312743
3a,CRF,NSU,267,Acer267,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.2227993,-80.08439636,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,3a NSU CRF Frozen,NA
3a,UM,NSU,124,Acer124,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.2227993,-80.08439636,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,3a NSU UM Frozen,NA
4a,UM,NSU,149,Acer149,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.16729927,-80.09030151,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,4a NSU UM Frozen,36.03747969
4a,UM,NSU,345,Acer345,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.16729927,-80.09030151,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,4a NSU UM Fresh,36.03747969
4a,CRF,NSU,218,Acer218,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.16729927,-80.09030151,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,4a NSU CRF Frozen,36.07180388
4a,CRF,NSU,415,Acer415,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.16729927,-80.09030151,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,4a NSU CRF Fresh,36.07180388
4a,NSU,NSU,206,Acer206,sample,,Acer,Frozen,3,n/a,Nearshore Broward County,26.16729927,-80.09030151,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,4a NSU NSU Frozen,36.14137013
4a,Mote,NSU,576,Acer576,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.16729927,-80.09030151,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,4a NSU Mote Fresh,NA
4a,Mote,NSU,104,Acer104,sample,,Acer,Frozen,2,n/a,Nearshore Broward County,26.16729927,-80.09030151,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,4a NSU Mote Frozen,NA
5a,CRF,NSU,208,Acer208,sample,dup,Acer,Frozen,3,n/a,Nearshore Broward County,26.16320038,-80.09049988,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,5a NSU CRF Frozen,36.02999848
5a,CRF,NSU,234,Acer234R,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.16320038,-80.09049988,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,5a NSU CRF Fresh,36.02999848
5a,Mote,NSU,575,Acer575,sample,,Acer,Fresh,4,n/a,Nearshore Broward County,26.16320038,-80.09049988,NSU,Sept to Dec 2007,SAL-10-1086A-SCRP,5a NSU Mote Fresh,36.19624508
