"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"Acer46_S46_L001"	"6588 (1015 uniques)"	"6504 (26 uniques)"	"6425 (17 uniques)"
"Acer47_S47_L001"	"4645 (657 uniques)"	"4609 (10 uniques)"	"4576 (4 uniques)"
"Acer48_S48_L001"	"2392 (382 uniques)"	"2363 (4 uniques)"	"2358 (3 uniques)"
"Acer49_S49_L001"	"5821 (817 uniques)"	"5766 (16 uniques)"	"5710 (10 uniques)"
"Acer4_S4_L001"	"2272 (402 uniques)"	"2249 (7 uniques)"	"2231 (6 uniques)"
"Acer504_S343_L001"	"7422 (1216 uniques)"	"7368 (14 uniques)"	"7327 (10 uniques)"
"Acer506_S344_L001"	"93836 (10693 uniques)"	"93484 (102 uniques)"	"92944 (89 uniques)"
"Acer508_S345_L001"	"59001 (6549 uniques)"	"58801 (77 uniques)"	"58488 (65 uniques)"
"Acer50_S50_L001"	"18905 (2207 uniques)"	"18764 (59 uniques)"	"18592 (37 uniques)"
"Acer513_S346_L001"	"46096 (6746 uniques)"	"45966 (86 uniques)"	"45764 (73 uniques)"
"Acer515_S347_L001"	"19102 (3268 uniques)"	"18902 (125 uniques)"	"18545 (88 uniques)"
"Acer51_S51_L001"	"4377 (1001 uniques)"	"4271 (27 uniques)"	"4163 (21 uniques)"
"Acer528_S348_L001"	"21576 (4214 uniques)"	"21313 (181 uniques)"	"20681 (116 uniques)"
"Acer52_S52_L001"	"602 (258 uniques)"	"564 (27 uniques)"	"485 (15 uniques)"
"Acer534_S349_L001"	"6670 (1548 uniques)"	"6555 (36 uniques)"	"6482 (27 uniques)"
"Acer538_S350_L001"	"22729 (3299 uniques)"	"22631 (34 uniques)"	"22473 (23 uniques)"
"Acer53_S53_L001"	"10523 (1189 uniques)"	"10450 (20 uniques)"	"10400 (14 uniques)"
"Acer547_S351_L001"	"4044 (836 uniques)"	"4002 (8 uniques)"	"3984 (5 uniques)"
"Acer548_S352_L001"	"9364 (1765 uniques)"	"9309 (19 uniques)"	"9256 (15 uniques)"
"Acer54_S54_L001"	"11103 (1602 uniques)"	"11035 (27 uniques)"	"10934 (16 uniques)"
"Acer553_S353_L001"	"7251 (1710 uniques)"	"7193 (23 uniques)"	"7079 (14 uniques)"
"Acer554_S354_L001"	"5732 (1242 uniques)"	"5681 (16 uniques)"	"5647 (13 uniques)"
"Acer555_S355_L001"	"7050 (1582 uniques)"	"6965 (21 uniques)"	"6894 (13 uniques)"
"Acer556_S356_L001"	"8438 (1537 uniques)"	"8365 (21 uniques)"	"8308 (13 uniques)"
"Acer557_S357_L001"	"10238 (1808 uniques)"	"10179 (29 uniques)"	"10099 (19 uniques)"
"Acer558_S358_L001"	"49127 (6410 uniques)"	"48928 (98 uniques)"	"48592 (79 uniques)"
"Acer559_S359_L001"	"46307 (7985 uniques)"	"46100 (131 uniques)"	"45621 (100 uniques)"
"Acer55_S55_L001"	"8804 (1121 uniques)"	"8721 (20 uniques)"	"8652 (13 uniques)"
"Acer565_S360_L001"	"33357 (4493 uniques)"	"33248 (75 uniques)"	"32974 (50 uniques)"
"Acer569_S361_L001"	"10289 (2191 uniques)"	"10129 (45 uniques)"	"9985 (27 uniques)"
"Acer56_S56_L001"	"2950 (459 uniques)"	"2925 (12 uniques)"	"2900 (8 uniques)"
"Acer572_S362_L001"	"82995 (10133 uniques)"	"82775 (97 uniques)"	"82141 (71 uniques)"
"Acer575_S363_L001"	"41120 (7600 uniques)"	"40974 (105 uniques)"	"40386 (83 uniques)"
"Acer576_S364_L001"	"34465 (4387 uniques)"	"34332 (57 uniques)"	"34180 (44 uniques)"
"Acer57_S57_L001"	"2342 (433 uniques)"	"2320 (8 uniques)"	"2295 (4 uniques)"
"Acer581_S365_L001"	"28847 (4238 uniques)"	"28701 (56 uniques)"	"28513 (38 uniques)"
"Acer584_S366_L001"	"6354 (1528 uniques)"	"6291 (18 uniques)"	"6238 (14 uniques)"
"Acer58_S58_L001"	"2671 (501 uniques)"	"2641 (10 uniques)"	"2621 (8 uniques)"
"Acer590_S367_L001"	"48326 (8312 uniques)"	"48119 (107 uniques)"	"47727 (90 uniques)"
"Acer591_S368_L001"	"4139 (945 uniques)"	"4089 (16 uniques)"	"4054 (11 uniques)"
"Acer594_S369_L001"	"52583 (7363 uniques)"	"52418 (97 uniques)"	"52146 (75 uniques)"
"Acer595_S370_L001"	"41860 (5445 uniques)"	"41689 (67 uniques)"	"41422 (51 uniques)"
"Acer596_S371_L001"	"35083 (4595 uniques)"	"34953 (56 uniques)"	"34759 (46 uniques)"
"Acer59_S59_L001"	"1421 (255 uniques)"	"1398 (4 uniques)"	"1388 (3 uniques)"
"Acer5_S5_L001"	"5812 (1080 uniques)"	"5726 (28 uniques)"	"5615 (14 uniques)"
"Acer607_S372_L001"	"27317 (3927 uniques)"	"27207 (42 uniques)"	"27052 (31 uniques)"
"Acer60_S60_L001"	"575 (225 uniques)"	"529 (17 uniques)"	"468 (11 uniques)"
"Acer61_S61_L001"	"12477 (1456 uniques)"	"12381 (21 uniques)"	"12339 (14 uniques)"
"Acer62_S62_L001"	"3182 (471 uniques)"	"3151 (8 uniques)"	"3132 (5 uniques)"
"Acer63_S63_L001"	"7429 (963 uniques)"	"7370 (25 uniques)"	"7279 (14 uniques)"
"Acer64_S64_L001"	"602 (116 uniques)"	"583 (4 uniques)"	"577 (3 uniques)"
"Acer65_S65_L001"	"899 (158 uniques)"	"883 (3 uniques)"	"881 (3 uniques)"
"Acer66_S66_L001"	"194 (48 uniques)"	"193 (3 uniques)"	"193 (3 uniques)"
"Acer67_S67_L001"	"62 (12 uniques)"	"58 (1 uniques)"	"58 (1 uniques)"
"Acer67b_S293_L001"	"77441 (9628 uniques)"	"77211 (84 uniques)"	"76787 (66 uniques)"
"Acer67c_S294_L001"	"138763 (19401 uniques)"	"138469 (139 uniques)"	"137474 (141 uniques)"
"Acer68b_S289_L001"	"28556 (4784 uniques)"	"28432 (82 uniques)"	"28122 (69 uniques)"
"Acer68c_S295_L001"	"57190 (7555 uniques)"	"56960 (118 uniques)"	"56399 (89 uniques)"
"Acer69b_S296_L001"	"61905 (7442 uniques)"	"61685 (77 uniques)"	"61148 (63 uniques)"
"Acer6_S6_L001"	"19978 (2799 uniques)"	"19829 (86 uniques)"	"19517 (52 uniques)"
"Acer70b_S297_L001"	"4781 (1177 uniques)"	"4701 (21 uniques)"	"4625 (14 uniques)"
"Acer71b_S298_L001"	"6036 (1024 uniques)"	"5986 (6 uniques)"	"5963 (2 uniques)"
"Acer72_S72_L001"	"93 (22 uniques)"	"91 (2 uniques)"	"91 (2 uniques)"
"Acer73_S73_L001"	"5104 (875 uniques)"	"5044 (14 uniques)"	"4956 (8 uniques)"
"Acer74b_S299_L001"	"2964 (924 uniques)"	"2885 (11 uniques)"	"2850 (10 uniques)"
"Acer75_S74_L001"	"5353 (856 uniques)"	"5281 (23 uniques)"	"5205 (14 uniques)"
"Acer76_S76_L001"	"5320 (895 uniques)"	"5272 (16 uniques)"	"5238 (12 uniques)"
"Acer77_S77_L001"	"9318 (1502 uniques)"	"9264 (21 uniques)"	"9172 (17 uniques)"
"Acer78_S78_L001"	"14651 (2109 uniques)"	"14520 (26 uniques)"	"14462 (18 uniques)"
"Acer79_S79_L001"	"10719 (2209 uniques)"	"10649 (57 uniques)"	"10376 (33 uniques)"
"Acer7_S7_L001"	"3947 (815 uniques)"	"3895 (15 uniques)"	"3865 (11 uniques)"
"Acer80_S80_L001"	"4896 (846 uniques)"	"4845 (17 uniques)"	"4806 (11 uniques)"
"Acer81_S81_L001"	"51907 (4790 uniques)"	"51678 (98 uniques)"	"51312 (69 uniques)"
"Acer82_S82_L001"	"4392 (679 uniques)"	"4347 (11 uniques)"	"4323 (8 uniques)"
"Acer83_S83_L001"	"3994 (679 uniques)"	"3936 (11 uniques)"	"3908 (8 uniques)"
"Acer84_S84_L001"	"16246 (2600 uniques)"	"16135 (112 uniques)"	"15758 (77 uniques)"
"Acer85_S85_L001"	"11241 (1327 uniques)"	"11146 (29 uniques)"	"11016 (17 uniques)"
"Acer86_S86_L001"	"1310 (356 uniques)"	"1261 (23 uniques)"	"1214 (14 uniques)"
"Acer87_S87_L001"	"2670 (629 uniques)"	"2619 (12 uniques)"	"2593 (9 uniques)"
"Acer88_S88_L001"	"3594 (640 uniques)"	"3569 (14 uniques)"	"3536 (9 uniques)"
"Acer89_S89_L001"	"16687 (2659 uniques)"	"16636 (55 uniques)"	"16403 (46 uniques)"
"Acer8_S8_L001"	"5272 (821 uniques)"	"5193 (26 uniques)"	"5109 (18 uniques)"
"Acer90_S90_L001"	"3124 (618 uniques)"	"3073 (20 uniques)"	"3010 (15 uniques)"
"Acer91_S91_L001"	"37211 (4962 uniques)"	"37030 (87 uniques)"	"36782 (69 uniques)"
"Acer92_S92_L001"	"4022 (837 uniques)"	"3961 (28 uniques)"	"3900 (20 uniques)"
"Acer93_S141_L001"	"15348 (2529 uniques)"	"15231 (24 uniques)"	"15149 (23 uniques)"
"Acer94_S153_L001"	"25768 (3641 uniques)"	"25658 (38 uniques)"	"25564 (31 uniques)"
"Acer95_S165_L001"	"74830 (7961 uniques)"	"74570 (89 uniques)"	"74194 (69 uniques)"
"Acer96_S97_L001"	"4043 (1122 uniques)"	"3985 (27 uniques)"	"3946 (18 uniques)"
"Acer97_S109_L001"	"22096 (4205 uniques)"	"21936 (40 uniques)"	"21794 (28 uniques)"
"Acer98_S121_L001"	"13103 (2161 uniques)"	"13023 (37 uniques)"	"12929 (27 uniques)"
"Acer99_S133_L001"	"155603 (18053 uniques)"	"155200 (163 uniques)"	"154243 (142 uniques)"
"Acer9_S9_L001"	"3719 (659 uniques)"	"3673 (17 uniques)"	"3610 (6 uniques)"
"AcerDNAblankP1_S96_L001"	"122 (56 uniques)"	"109 (7 uniques)"	"95 (4 uniques)"
"AcerMOCKP2_S190_L001"	"34458 (10203 uniques)"	"34303 (58 uniques)"	"33318 (68 uniques)"
"AcerMOCKP4_S291_L001"	"231795 (52011 uniques)"	"231210 (185 uniques)"	"225601 (342 uniques)"
"AcerMockP1_S95_L001"	"2628 (939 uniques)"	"2613 (12 uniques)"	"2533 (10 uniques)"
"AcerMockP3_S193_L001"	"5929 (2938 uniques)"	"5880 (11 uniques)"	"5676 (10 uniques)"
"AcerNTCP2a_S106_L001"	"57 (39 uniques)"	"45 (3 uniques)"	"42 (2 uniques)"
"AcerNTCP3a_S194_L001"	"118 (70 uniques)"	"115 (6 uniques)"	"87 (2 uniques)"
"AcerNTCP3b_S195_L001"	"74 (48 uniques)"	"67 (4 uniques)"	"52 (3 uniques)"
"AcerNTCP4a_S290_L001"	"133 (67 uniques)"	"126 (6 uniques)"	"112 (5 uniques)"
